pdb,Hchain,Lchain,model,antigen_chain
6lra,H,L,0,C
1egj,H,L,0,A
6x1u,H,L,0,D
4k3j,H,L,0,B
6q0o,Z,B,0,A
3i50,H,L,0,E
5vag,C,B,0,A
2dqj,H,L,0,Y
3gbm,H,L,0,B | A
1fpt,H,L,0,P
3u9p,H,L,0,D
4ydl,H,L,0,G
7cm4,H,L,0,A
4ogy,H,L,0,A
5wt9,H,L,0,G
3l95,B,A,0,X
6e4y,H,L,0,P
1f90,H,L,0,E
6wfx,H,L,0,P
5dd0,H,L,0,P
3pnw,B,A,0,C
7kn3,H,L,0,A
6ad7,C,D,0,A
4jo3,H,L,0,P
6uoe,H,L,0,P
5ush,D,E,0,A
4ij3,C,B,0,A
4ffy,H,L,0,A
6wg1,A,B,0,C
1qle,H,L,0,B
6mtp,H,L,0,P
6wo3,H,L,0,E
4uv7,H,L,0,A
6o1f,H,L,0,A | I
7ahu,H,L,0,C | D
6ktr,A,B,0,C
5ye4,A,B,0,E
3wxv,H,L,0,A
5fgb,C,A,0,F
5whk,H,L,0,A | B
1ic7,H,L,0,Y
1bj1,H,L,0,W
7m52,H,L,0,A
4wfe,E,D,0,A
3qwo,H,L,0,P
5k9k,A,B,0,I
6db5,H,L,0,P
6db6,H,L,0,P
7lfa,B,D,0,A
7b3o,H,L,0,E
5ea0,H,L,0,P
5d72,H,L,0,A
4edx,B,A,0,W
2vxt,H,L,0,I
4n0y,H,L,0,A
3sob,H,L,0,B
2xwt,A,B,0,C
3hr5,H,L,0,R
7lcv,A,B,0,C
6pi7,C,B,0,A
6vep,C,D,0,E
6e56,H,J,0,A
6k65,H,L,0,A
7jtg,A,B,0,E
6ubi,A,B,0,C
4yqx,H,L,0,A
7orb,H,L,0,R
1jhl,H,L,0,A
7kqg,B,C,0,A
6xpx,B,C,0,A
4bz2,H,L,0,A
3h42,H,L,0,B | A
6aod,B,A,0,C
5sx4,J,I,0,M
4ps4,H,L,0,A
4oii,H,L,0,A
5k9q,G,I,0,D | C | E
1osp,H,L,0,O
6m58,H,L,0,A
5y11,A,B,0,C
5en2,A,B,0,C
7cjf,A,B,0,C
5d70,H,L,0,A
5ucb,H,L,0,B
6vmj,B,A,0,Z
6urh,H,L,0,C
7o30,H,L,0,P
1nl0,H,L,0,G
7kmi,A,B,0,C
5zia,G,L,0,R
7rnj,H,L,0,B
5ukr,H,L,0,G
6pdr,H,L,0,A
3grw,H,L,0,A
4k94,H,L,0,C
4dgv,H,L,0,A
4jzo,A,B,0,J
6oy4,D,C,0,A
4qyo,A,B,0,Q
3hi1,H,L,0,G
5ldn,H,L,0,A
3ifp,H,L,0,P
5k59,H,L,0,A
6bpa,B,C,0,A
6o25,A,B,0,D | G
3nh7,H,L,0,A
2igf,H,L,0,P
7lf7,A,B,0,M
4hkx,A,B,0,E
6mtt,H,L,0,P
6vc9,H,L,0,A
1e6j,H,L,0,P
2vdo,H,L,0,A
6bqb,H,L,0,P
4g6j,H,L,0,A
4xvj,H,L,0,A
7kzb,H,L,0,C
5hdq,H,L,0,A
5lcv,H,L,0,A | B
6wtu,K,L,0,J
4l5f,H,L,0,E
7joo,H,L,0,C
5ifj,A,B,0,C
5gmq,B,C,0,A
6r8x,C,B,0,A
1ncb,H,L,0,N
6z7w,B,A,0,I | J
5tkk,H,L,0,A
2zch,H,L,0,P
6yxk,A,B,0,C
6uym,H,L,0,E
5jq6,H,L,0,A
3mlv,H,L,0,P
6iuv,H,L,0,A
6w0g,A,B,0,C
5ocy,H,L,0,C
2v17,H,L,0,A
3hmx,H,L,0,A
4qww,D,C,0,B
7cj2,C,D,0,A
3uc0,H,L,0,A
6p50,H,L,0,C
6wh9,E,F,0,D
6bck,H,L,0,G
5czx,C,D,0,B
4hpo,H,L,0,P
6o26,A,B,0,C
7k9z,H,L,0,E
6db7,H,L,0,P
7bep,A,B,0,E
5bk2,C,D,0,B
5sy8,H,L,0,O
6k0y,A,B,0,C
1ncc,H,L,0,N
6wgl,A,B,0,C
5tkj,A,B,0,C
6b9j,H,L,0,X
6u9s,A,B,0,C
5mhr,N,G,0,F
4cmh,B,C,0,A
7kmh,A,B,0,C
6c6z,C,D,0,A
7keo,A,B,0,D | C
1ndg,B,A,0,C
7jn5,H,L,0,F
7n3i,H,L,0,C
6ldy,A,B,0,C
4ttd,C,D,0,B
4jzj,A,B,0,D
7mzm,H,L,0,A
1uj3,B,A,0,C
7rco,D,C,0,B
4tul,H,L,0,I
7dha,C,B,0,A
5tbd,E,F,0,I
1ua6,H,L,0,Y
5cil,H,L,0,P
6mi2,A,B,0,C
2dd8,H,L,0,S
1xiw,D,C,0,A | F
4xmp,H,L,0,G
4xzu,A,B,0,M
5xku,C,B,0,A
6yio,H,L,0,B
5xxy,H,L,0,A
6ewb,E,F,0,A
3ujj,H,L,0,P
4krp,D,C,0,A
6iek,B,C,0,A
6zjg,H,L,0,C
6nmu,H,L,0,S
6mnq,H,L,0,P
6xkp,H,L,0,A
2eh8,H,L,0,P
7n0u,H,L,0,C
7kyl,H,L,0,E
4hpy,H,L,0,P
6hxw,C,D,0,B
6plk,H,L,0,E
6cdp,A,B,0,C
6svl,A,B,0,C
5veb,A,B,0,X
6bb4,H,L,0,P
6df2,H,L,0,D
5ye3,B,A,0,C
3thm,H,L,0,F
2r0w,H,L,0,Q
4om1,H,L,0,G
1a3r,H,L,0,P
2cmr,H,L,0,A
7ce2,Z,B,0,A
4hwb,H,L,0,A
4ot1,H,L,0,A
6bpc,B,C,0,A
1w72,H,L,0,A | C
1ejo,H,L,0,P
5xcv,A,B,0,C
3dvg,B,A,0,Y | X
4jpv,H,L,0,G
6h0e,H,L,0,I
5f9o,H,L,0,G
7ket,A,B,0,C
4hj0,P,Q,0,A
7mww,H,L,0,E
7kfy,H,L,0,A
5hbt,D,C,0,B
5gzo,H,L,0,A
7m7w,A,B,0,S
3mlw,H,L,0,P
3skj,H,L,0,E
6vel,H,L,0,C
4g3y,H,L,0,C
4y5v,A,B,0,C
6ucf,H,L,0,A
1xgr,B,A,0,C
7l7e,A,B,0,G
4nrx,H,L,0,P
5do2,H,L,0,A
6wmw,H,L,0,B
6vgr,C,D,0,A
6o3a,B,A,0,E
6xe1,H,L,0,E
7chy,H,L,0,I
6iea,H,L,0,A
4rgn,B,C,0,A
6lz4,A,B,0,C
4olv,H,L,0,G
2h1p,H,L,0,P
5my4,B,A,0,C
6ldw,H,L,0,C
6lxi,H,L,0,A
7jmp,H,L,0,A
6xzw,H,L,0,D
5o4g,B,A,0,C
5kvf,H,L,0,E
4zfo,H,L,0,K
5w6g,H,L,0,A
5w3p,H,L,0,P
3qg6,B,A,0,D
3r1g,H,L,0,B
2yc1,A,B,0,C
3jwd,H,L,0,A
6yxm,H,L,0,B
6j6y,B,C,0,A
5if0,A,B,0,I
5nh3,H,L,0,A
6qig,H,L,0,A
4kuc,H,D,0,A
4zto,H,L,0,P
6co3,H,L,0,Q
6wo5,A,B,0,E
6b5m,H,L,0,A
7o9s,H,L,0,A
7mfr,B,A,0,P
6vbp,H,L,0,G
7n3c,H,L,0,C
1sy6,H,L,0,A
4ydv,H,L,0,P
6e63,H,L,0,P
6z7z,B,A,0,H | G
4d9q,E,D,0,B
5ggt,H,L,0,A
6dca,H,L,0,P
6fax,H,L,0,R
5usl,H,L,0,X
4yhz,H,L,0,P
6obd,B,A,0,E
5o1r,H,L,0,A
3eoa,H,L,0,I
7bei,H,L,0,E
2y6s,D,C,0,P
6o42,H,L,0,G
6mhr,D,E,0,F
5b71,B,A,0,E
5vkd,H,L,0,A
5x2n,H,L,0,A
6mej,A,B,0,C
6azm,B,A,0,E
3nps,B,C,0,A
5ikc,B,A,0,M
6p67,A,B,0,K | G
2ny7,H,L,0,G
6mg7,H,L,0,G
6xp6,H,G,0,A | C | B
6d0x,A,B,0,C
6p60,A,B,0,E
4d3c,H,L,0,A
2brr,H,L,0,P
3g5y,B,A,0,E
6was,H,L,0,J
5csz,H,L,0,D
3uyr,H,L,0,P
6n5d,C,D,0,A
3wih,H,L,0,A
1uwx,H,L,0,P
6o3l,H,L,0,D
1cu4,H,L,0,P
6bgt,B,A,0,C
1h0d,B,A,0,C
6pbv,B,A,0,G
4k9e,H,L,0,C
4dke,H,L,0,A
6bfs,H,L,0,C
5xct,A,B,0,C
5te7,H,L,0,G
7e86,A,B,0,C
1xgt,B,A,0,C
6cw3,A,B,0,H | G
1xgq,B,A,0,C
3u7y,H,L,0,G
6dc8,H,L,0,P
5w06,H,L,0,T
3be1,H,L,0,A
4xwg,H,L,0,A
5x0t,A,B,0,E
5tpw,H,L,0,A | B
7klh,H,L,0,A
4i77,H,L,0,Z
6u2f,H,L,0,A
4xny,H,L,0,G
3liz,H,L,0,A
2xtj,D,B,0,A
5v6l,H,L,0,P
7r8l,H,L,0,E
6n16,A,B,0,E
6dc9,H,L,0,P
5o14,C,D,0,B
2arj,H,L,0,Q
5dlm,H,L,0,X
6ayz,B,D,0,A
6xkq,H,L,0,A
5bk1,H,L,0,A
5tfw,H,L,0,O
3g04,B,A,0,C
4ye4,H,L,0,G
6zvf,H,L,0,P
4f37,F,K,0,B
4g6a,C,D,0,B
5aum,H,L,0,C
6p4b,H,L,0,C
5i9q,B,C,0,A
6qb6,H,L,0,A
6mft,H,L,0,G
5e2w,H,L,0,P
4np4,H,L,0,A
4zs7,H,L,0,A
6n5e,H,I,0,C
3mac,H,L,0,A
2hrp,H,L,0,P
6mns,H,L,0,P
4hcr,H,L,0,A
2dqf,B,A,0,C
2adf,H,L,0,A
2y5t,A,B,0,E | G | F
7bek,H,L,0,E
4qhu,H,L,0,C
3ks0,H,L,0,B
5ock,H,L,0,A
6nha,H,L,0,A | B
2j88,H,L,0,A
3mnz,B,A,0,P
6uyf,H,L,0,E
4g6m,H,L,0,A
6wfy,H,L,0,P
6s3d,A,B,0,N
1kb5,H,L,0,A | B
5nuz,A,B,0,C
6rlo,A,B,0,I
3ggw,B,A,0,E
6muf,D,E,0,B
7cr5,H,L,0,A
5tlk,B,A,0,X
4rdq,G,F,0,E
2mpa,H,L,0,P
6x1w,H,L,0,A
5yy5,H,L,0,A
1e4w,H,L,0,P
4o58,H,L,0,A
2xqb,H,L,0,A
6b0h,B,A,0,J
6iw2,B,C,0,A
6ohg,C,B,0,A
1yjd,H,L,0,C
7eam,H,L,0,A
2bdn,H,L,0,A
6ncp,C,D,0,E
1iqd,B,A,0,C
2hfg,H,L,0,R
6a0z,H,L,0,A
7ch5,H,L,0,R
6b0a,H,L,0,A
1fe8,H,L,0,A
4yue,H,L,0,C
6vtw,H,L,0,A
6o9h,H,L,0,D
7bsd,A,B,0,G
6phb,D,C,0,I
6ppg,B,A,0,G
2ap2,B,A,0,P
2h9g,B,A,0,R
6nmv,H,L,0,S
7jie,C,D,0,B
6ks1,H,L,0,A
4rwy,H,L,0,A
5ijk,A,C,0,X
4p3c,H,L,0,M
6f7t,B,A,0,D
7beh,H,L,0,E
6vry,H,L,0,G
5kw9,H,L,0,A
5d96,J,I,0,D
6mei,H,L,0,C
5uem,H,L,0,G
7c94,B,A,0,C
6pbw,D,C,0,E
7c01,H,L,0,A
4f3f,B,A,0,C
6gk7,H,L,0,A
7e8m,H,L,0,E
4py8,I,J,0,B | A
5vic,H,L,0,E
6iap,E,D,0,A
1nmc,H,L,0,N
6mqs,A,B,0,E
4dqo,H,L,0,C
3eyu,H,L,0,Q
6mfp,H,L,0,G
6oc3,A,B,0,F
6a79,H,L,0,A
6ztr,A,B,0,J
7o33,H,L,0,P
2hkf,H,L,0,P
7kpg,H,L,0,S
4why,G,H,0,D
2dqc,H,L,0,Y
1oaz,H,L,0,A
7e7y,A,B,0,R
6u6u,H,L,0,R
6h3t,H,L,0,A
5ob5,H,L,0,A
6sf6,H,L,0,C
6pzf,F,E,0,B
5kn5,A,B,0,C
1jrh,H,L,0,I
5uea,A,B,0,X
7bq5,H,L,0,A
1mvu,B,A,0,P
6kva,H,L,0,B
4dkf,H,L,0,A
7k75,A,B,0,E
3ghe,H,L,0,P
6hig,H,L,0,B
3pp4,H,L,0,P
3s35,H,L,0,X
4uu9,A,B,0,C
5vxr,H,L,0,P
5nph,H,L,0,A
5u3j,H,L,0,A
2qhr,H,L,0,P
5xmh,H,L,0,A
5xwd,H,D,0,A
7chs,H,L,0,E
1sm3,H,L,0,P
6flc,B,A,0,I
4cad,B,A,0,C
5lqb,H,L,0,A
4plj,H,L,0,A
4m1d,H,L,0,P
2fjg,H,L,0,W
3bky,H,L,0,P
1ob1,B,A,0,C
5fcu,H,L,0,G
6wo4,H,L,0,E
1kc5,H,L,0,P
5u3l,H,L,0,P
5n7w,A,B,0,Y
7kn6,H,L,0,A
5mo9,H,L,0,X
5tz2,H,L,0,C
5epm,A,B,0,C
